"VERSIONS","LEVEL_ID","TERRITORY_ID","NAME_HTML","YEAR","DATE","UNIT","VALUE"
"2016","2","BG32","Severen tsentralen","2021","2021","PC","640328.0"
"2016","2","BG32","Severen tsentralen","2022","2022","PC","796862.0"
"2016","2","BG32","Severen tsentralen","2023","2023","PC","829531.0"
"2016","2","BG32","Severen tsentralen","2024","2024","PC","811480.0"
"2016","2","BG33","Severoiztochen","2019","2019","PC","7888370.0"
"2016","2","BG33","Severoiztochen","2020","2020","PC","2881380.0"
"2016","2","BG33","Severoiztochen","2021","2021","PC","4643589.0"
"2016","2","BG33","Severoiztochen","2022","2022","PC","5583720.0"
"2016","2","BG33","Severoiztochen","2023","2023","PC","6278943.0"
"2016","2","BG33","Severoiztochen","2024","2024","PC","6622647.0"
"2016","2","BG34","Yugoiztochen","2019","2019","PC","10565610.0"
"2016","2","BG34","Yugoiztochen","2020","2020","PC","3906580.0"
"2016","2","BG34","Yugoiztochen","2021","2021","PC","6744017.0"
"2016","2","BG34","Yugoiztochen","2022","2022","PC","9626527.0"
"2016","2","BG34","Yugoiztochen","2023","2023","PC","10421361.0"
"2016","2","BG34","Yugoiztochen","2024","2024","PC","10698714.0"
"2016","2","BG41","Yugozapaden","2019","2019","PC","4456931.0"
"2016","2","BG41","Yugozapaden","2020","2020","PC","2294523.0"
"2016","2","BG41","Yugozapaden","2021","2021","PC","2791394.0"
"2016","2","BG41","Yugozapaden","2022","2022","PC","4335721.0"
"2016","2","BG41","Yugozapaden","2023","2023","PC","4939678.0"
"2016","2","BG41","Yugozapaden","2024","2024","PC","5040870.0"
"2016","2","BG42","Yuzhen tsentralen","2019","2019","PC","2783540.0"
"2016","2","BG42","Yuzhen tsentralen","2020","2020","PC","1841585.0"
"2016","2","BG42","Yuzhen tsentralen","2021","2021","PC","2281377.0"
"2016","2","BG42","Yuzhen tsentralen","2022","2022","PC","3152691.0"
"2016","2","BG42","Yuzhen tsentralen","2023","2023","PC","3654487.0"
"2016","2","BG42","Yuzhen tsentralen","2024","2024","PC","3721725.0"
"2016","2","CH01","Région lémanique","2019","2019","PC","15751260.0"
"2016","2","CH01","Région lémanique","2021","2021","PC","11759927.0"
"2016","2","CH01","Région lémanique","2022","2022","PC","15264532.0"
"2016","2","CH01","Région lémanique","2023","2023","PC","15963290.0"
"2016","2","CH01","Région lémanique","2024","2024","PC","16048993.0"
"2016","2","CH02","Espace Mittelland","2019","2019","PC","10309190.0"
"2016","2","CH02","Espace Mittelland","2021","2021","PC","8257584.0"
"2016","2","CH02","Espace Mittelland","2022","2022","PC","10281878.0"
"2016","2","CH02","Espace Mittelland","2023","2023","PC","11350272.0"
"2016","2","CH02","Espace Mittelland","2024","2024","PC","11421221.0"
"2016","2","CH03","Nordwestschweiz","2019","2019","PC","2632144.0"
"2016","2","CH03","Nordwestschweiz","2021","2021","PC","1640268.0"
"2016","2","CH03","Nordwestschweiz","2022","2022","PC","2432043.0"
"2016","2","CH03","Nordwestschweiz","2023","2023","PC","2791381.0"
"2016","2","CH03","Nordwestschweiz","2024","2024","PC","2955932.0"
"2016","2","CH04","Zürich","2019","2019","PC","6325748.0"
"2016","2","CH04","Zürich","2021","2021","PC","3072849.0"
"2016","2","CH04","Zürich","2022","2022","PC","5767934.0"
"2016","2","CH04","Zürich","2023","2023","PC","6754881.0"
"2016","2","CH04","Zürich","2024","2024","PC","7093662.0"
"2016","2","CH05","Ostschweiz","2019","2019","PC","11402222.0"
"2016","2","CH05","Ostschweiz","2021","2021","PC","11312916.0"
"2016","2","CH05","Ostschweiz","2022","2022","PC","11965301.0"
"2016","2","CH05","Ostschweiz","2023","2023","PC","12040942.0"
"2016","2","CH05","Ostschweiz","2024","2024","PC","12136041.0"
"2016","2","CH06","Zentralschweiz","2019","2019","PC","5883139.0"
"2016","2","CH06","Zentralschweiz","2021","2021","PC","4385016.0"
"2016","2","CH06","Zentralschweiz","2022","2022","PC","5331902.0"
"2016","2","CH06","Zentralschweiz","2023","2023","PC","5912762.0"
"2016","2","CH06","Zentralschweiz","2024","2024","PC","6134767.0"
"2016","2","CH07","Ticino","2019","2019","PC","3930928.0"
"2016","2","CH07","Ticino","2021","2021","PC","5455928.0"
"2016","2","CH07","Ticino","2022","2022","PC","4596505.0"
"2016","2","CH07","Ticino","2023","2023","PC","4497675.0"
"2016","2","CH07","Ticino","2024","2024","PC","4325678.0"
"2016","2","CY00","Kypros","2019","2019","PC","17573684.0"
"2016","2","CY00","Kypros","2020","2020","PC","3725254.0"
"2016","2","CY00","Kypros","2021","2021","PC","9741618.0"
"2016","2","CY00","Kypros","2022","2022","PC","14252434.0"
"2016","2","CY00","Kypros","2023","2023","PC","15636125.0"
"2016","2","CY00","Kypros","2024","2024","PC","17909478.0"
"2016","2","CZ01","Praha","2019","2019","PC","18479653.0"
"2016","2","CZ01","Praha","2020","2020","PC","4903295.0"
"2016","2","CZ01","Praha","2021","2021","PC","5257254.0"
"2016","2","CZ01","Praha","2022","2022","PC","13398104.0"
"2016","2","CZ01","Praha","2023","2023","PC","16861664.0"
"2016","2","CZ01","Praha","2024","2024","PC","18279256.0"
"2016","2","CZ02","Strední Cechy","2019","2019","PC","2699378.0"
"2016","2","CZ02","Strední Cechy","2020","2020","PC","1822817.0"
"2016","2","CZ02","Strední Cechy","2021","2021","PC","2028714.0"
"2016","2","CZ02","Strední Cechy","2022","2022","PC","2781158.0"
